epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,4346.33,0.80331,0.5264,1.09335,0.96604,0.80676,0.80212,0.6322,0.83721,0.38434,1.13722,0.0005083,0.0005083,0.0005083
151,4375.43,0.79143,0.51637,1.08946,0.95971,0.8079,0.80302,0.6359,0.84664,0.38673,1.14137,0.000505,0.000505,0.000505
152,4405.13,0.78085,0.5124,1.08173,0.95894,0.80981,0.80592,0.63302,0.85597,0.38829,1.14543,0.0005017,0.0005017,0.0005017
153,4434.51,0.76235,0.49877,1.07134,0.96127,0.7934,0.80491,0.62635,0.85972,0.39837,1.14185,0.0004984,0.0004984,0.0004984
154,4463.55,0.78722,0.50711,1.09014,0.96513,0.80498,0.80601,0.63251,0.85934,0.38708,1.13866,0.0004951,0.0004951,0.0004951
155,4492.31,0.81491,0.52059,1.09339,0.96666,0.80155,0.80476,0.63059,0.86065,0.39204,1.14453,0.0004918,0.0004918,0.0004918
156,4521,0.77185,0.51111,1.0815,0.79483,0.80422,0.79942,0.62843,0.84212,0.40438,1.14518,0.0004885,0.0004885,0.0004885
157,4549.83,0.75694,0.49537,1.07873,0.96107,0.80288,0.80612,0.63089,0.86826,0.3924,1.14688,0.0004852,0.0004852,0.0004852
158,4579.04,0.78655,0.50754,1.08531,0.96302,0.80611,0.80771,0.64033,0.83418,0.37341,1.13139,0.0004819,0.0004819,0.0004819
159,4608.1,0.78218,0.50668,1.08141,0.79541,0.80563,0.80533,0.63528,0.86007,0.3907,1.14019,0.0004786,0.0004786,0.0004786
160,4636.78,0.77927,0.51595,1.08307,0.95996,0.79477,0.80048,0.62864,0.84767,0.39014,1.14718,0.0004753,0.0004753,0.0004753
161,4665.75,0.78056,0.50613,1.08457,0.79565,0.81387,0.80757,0.63767,0.85518,0.38151,1.13698,0.000472,0.000472,0.000472
162,4694.63,0.78513,0.49858,1.08704,0.96101,0.81169,0.80743,0.63392,0.84325,0.38542,1.13305,0.0004687,0.0004687,0.0004687
163,4723.19,0.77545,0.50161,1.07512,0.96433,0.81145,0.80673,0.63268,0.86475,0.38299,1.14606,0.0004654,0.0004654,0.0004654
164,4752.13,0.77982,0.49383,1.0823,0.96755,0.80067,0.80236,0.62577,0.87387,0.38668,1.1612,0.0004621,0.0004621,0.0004621
165,4780.84,0.76321,0.48308,1.06872,0.96334,0.80821,0.80339,0.62877,0.8527,0.38566,1.14008,0.0004588,0.0004588,0.0004588
166,4809.5,0.76068,0.48775,1.06711,0.95993,0.80557,0.80341,0.62364,0.86221,0.3948,1.15592,0.0004555,0.0004555,0.0004555
167,4839.32,0.76752,0.50024,1.0831,0.79398,0.81321,0.80246,0.6322,0.84265,0.38668,1.1426,0.0004522,0.0004522,0.0004522
168,4868.13,0.75427,0.47821,1.07901,0.96698,0.80408,0.80274,0.62828,0.85977,0.38988,1.15119,0.0004489,0.0004489,0.0004489
